id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,file_size,token_count,coverage
PG48654,Incesto: novela original,"Zamacois, Eduardo",1873.0,1971.0,['es'],35.0,{'Spanish fiction'},Text,223.3,37668.0,0.982266114473824
PG33885,Historia de los Judíos en España: desde los tiempos de su establecimiento hasta principios del present siglo,"Castro, Adolfo de",1823.0,1898.0,['es'],44.0,{'Jews -- Spain -- History'},Text,365.56,65196.0,0.979339223265231
PG14944,La Barraca,"Blasco Ibáñez, Vicente",1867.0,1928.0,['es'],32.0,"{'Tenant farmers -- Fiction', 'Valencia (Spain : Province) -- Fiction', 'Absentee landlordism -- Fiction'}",Text,316.66,55429.0,0.9809305598152591
PG15066,La Vuelta de Martín Fierro,"Hernández, José",1834.0,1886.0,['es'],37.0,{'Gauchos -- Poetry'},Text,132.14,25197.0,0.9760288923284518
PG39613,Papeles del doctor Angélico,"Palacio Valdés, Armando",1853.0,1938.0,['es'],7.0,{'Spanish fiction'},Text,531.41,94280.0,0.9873568095036063
PG48940,Lucrecia Borja: Estudio Histórico,"Villa-Urrutia, W. R. de",1850.0,1933.0,['es'],21.0,"{'Borgia, Lucrezia, 1480-1519', 'Italy -- History -- 1492-1559'}",Text,410.58,73199.0,0.9846855831363817
PG18784,Itinerario de Buenos Aires a Cordoba,"Sourryère de Souillac, José",1750.0,1820.0,['es'],11.0,"{'Córdoba (Argentina : Province) -- Description and travel', 'Buenos Aires (Argentina : Province) -- Description and travel', 'Argentina -- Discovery and exploration'}",Text,22.0,4005.0,0.9882646691635456
PG19106,Reconocimiento del fuerte del Carmen del Rio Negro,"Cramer, Ambrosio",,,['es'],8.0,"{'Negro River (Río Negro, Argentina)', 'Carmen de Patagones (Argentina)'}",Text,22.67,4071.0,0.9943502824858758
PG37382,Los cursos,"Veber, Pierre",1869.0,1942.0,['es'],29.0,"{'Drama', 'One-act plays'}",Text,198.65,35634.0,0.9797384520401864
PG16484,Juanita La Larga,"Valera, Juan",1824.0,1905.0,['es'],26.0,"{'Spanish fiction -- 19th century', 'Andalusia (Spain) -- Fiction'}",Text,397.52,73063.0,0.984492834950659
PG48670,Teatro galante,"Zamacois, Eduardo",1873.0,1971.0,['es'],7.0,{'Spanish drama'},Text,114.5,20783.0,0.9891738440071212
PG5877,"Reina Valera New Testament of the Bible 1602, Book of Matthew",,,,['es'],27.0,{'Bible. New Testament'},Text,116.99,21202.0,0.8034147721913028
PG45945,Antaño i Ogaño: Novelas i Cuentos de la Vida Hispano-Americana,"Lastarria, José Victorino",1817.0,1888.0,['es'],12.0,{'Chilean fiction'},Text,494.41,90774.0,0.9811069248903871
PG24601,El cuarto poder,"Palacio Valdés, Armando",1853.0,1938.0,['es'],23.0,{'Spanish fiction'},Text,710.86,126108.0,0.9829590509721826
PG54861,Torquemada en la cruz,"Pérez Galdós, Benito",1843.0,1920.0,['es'],16.0,{'Spanish fiction -- 19th century'},Text,307.75,55670.0,0.9810670019759296
PG36573,La aldea perdida: Novela-poema de costumbres campesinas,"Palacio Valdés, Armando",1853.0,1938.0,['es'],18.0,{'Spanish fiction'},Text,501.3,89802.0,0.9828511614440658
PG9895,Novelas de Voltaire — Tomo Primero,Voltaire,1694.0,1778.0,['es'],40.0,"{'Voltaire, 1694-1778 -- Translations into Spanish', 'French fiction -- Translations into Spanish'}",Text,95.59,17366.0,0.9739721294483473
PG44529,Dulce Nombre (Novela),"Espina, Concha",1869.0,1955.0,['es'],12.0,{'Spanish fiction -- 20th century'},Text,209.48,37662.0,0.986246083585577
PG36940,El señorito Octavio,"Palacio Valdés, Armando",1853.0,1938.0,['es'],19.0,{'Spanish fiction'},Text,362.28,64957.0,0.9848361223578675
PG16132,"Filosofía Fundamental, Tomo II","Balmes, Jaime Luciano",1810.0,1848.0,['es'],45.0,{'Philosophy'},Text,473.84,83114.0,0.9882811560025988
